antecedente,consecuente,support,confidence,lift
grades=Q1 + stress_level=Low,addiction_score=Q4 + study_hours=Q1,0.05632549268912905,0.2973154362416107,5.007250334133337
grades=Q1 + stress_level=Low,device_usage=Q4 + study_hours=Q1,0.05225683407501589,0.2758389261744966,4.557716710845412
device_usage=Q4 + study_hours=Q1,grades=Q1 + stress_level=Low,0.05225683407501589,0.8634453781512605,4.557716710845412
stress_level=Low + study_hours=Q1,grades=Q1 + reaction_time_ms=Q1,0.05810553083280356,0.5881595881595881,4.50426013717153
grades=Q1 + reaction_time_ms=Q1,stress_level=Low + study_hours=Q1,0.05810553083280356,0.44498539435248297,4.50426013717153
addiction_score=Q4 + grades=Q1,stress_level=Low + study_hours=Q1,0.05632549268912905,0.44477911646586343,4.5021721377143065
stress_level=Low + study_hours=Q1,addiction_score=Q4 + grades=Q1,0.05632549268912905,0.5701415701415701,4.5021721377143065
grades=Q1 + stress_level=Low,gaming_hours=Q4 + study_hours=Q2,0.055054036872218694,0.2906040268456376,4.455361932048615
gaming_hours=Q4 + study_hours=Q2,grades=Q1 + stress_level=Low,0.055054036872218694,0.8440545808966862,4.455361932048615
gaming_hours=Q4 + grades=Q1,stress_level=Low + study_hours=Q1,0.059885568976478065,0.4369202226345083,4.422622330785596
stress_level=Low + study_hours=Q1,gaming_hours=Q4 + grades=Q1,0.059885568976478065,0.6061776061776062,4.422622330785596
stress_level=Low + study_hours=Q1,device_usage=Q4 + grades=Q1,0.05225683407501589,0.5289575289575289,4.356283733247084
device_usage=Q4 + grades=Q1,stress_level=Low + study_hours=Q1,0.05225683407501589,0.43036649214659684,4.356283733247084
grades=Q1 + stress_level=Low,reaction_time_ms=Q1 + study_hours=Q2,0.05136681500317864,0.27114093959731544,4.173235792432262
reaction_time_ms=Q1 + study_hours=Q2,grades=Q1 + stress_level=Low,0.05136681500317864,0.7906066536203522,4.173235792432261
addiction_score=Q1 + reaction_time_ms=Q4,device_usage=Q1 + gaming_hours=Q1,0.1350286077558805,0.7298969072164949,4.141875306823761
device_usage=Q1 + gaming_hours=Q1,addiction_score=Q1 + reaction_time_ms=Q4,0.1350286077558805,0.7662337662337663,4.141875306823761
device_usage=Q4 + gaming_hours=Q4,addiction_score=Q4 + reaction_time_ms=Q1,0.12625556261919899,0.7333825701624815,4.108300508780568
addiction_score=Q4 + reaction_time_ms=Q1,device_usage=Q4 + gaming_hours=Q4,0.12625556261919899,0.7072649572649573,4.108300508780568
device_usage=Q1 + reaction_time_ms=Q4,addiction_score=Q1 + gaming_hours=Q1,0.1350286077558805,0.8194444444444445,4.10243829125115
addiction_score=Q1 + gaming_hours=Q1,device_usage=Q1 + reaction_time_ms=Q4,0.1350286077558805,0.6760025461489497,4.10243829125115
gaming_hours=Q4 + stress_level=Low,grades=Q1 + reaction_time_ms=Q1,0.11595677050222505,0.5311589982527665,4.0677366321889075
grades=Q1 + reaction_time_ms=Q1,gaming_hours=Q4 + stress_level=Low,0.11595677050222505,0.8880233690360273,4.0677366321889075
addiction_score=Q4 + gaming_hours=Q4,device_usage=Q4 + reaction_time_ms=Q1,0.12625556261919899,0.6448051948051948,4.053871188763275
device_usage=Q4 + reaction_time_ms=Q1,addiction_score=Q4 + gaming_hours=Q4,0.12625556261919899,0.7937649880095924,4.053871188763275
reaction_time_ms=Q1 + stress_level=Low,gaming_hours=Q4 + sleep_hours=Q4,0.05467260012714558,0.2545885139135583,4.028850426418785
gaming_hours=Q4 + sleep_hours=Q4,reaction_time_ms=Q1 + stress_level=Low,0.05467260012714558,0.8651911468812877,4.028850426418785
grades=Q1,gaming_hours=Q4 + reaction_time_ms=Q1 + study_hours=Q1,0.050222504767959315,0.20081342145399084,3.948493899339095
gaming_hours=Q4 + reaction_time_ms=Q1 + study_hours=Q1,grades=Q1,0.050222504767959315,0.9875,3.948493899339095
grades=Q1,gaming_hours=Q4 + study_hours=Q1,0.059885568976478065,0.23945094051855614,3.9399197639716403
grades=Q1,gaming_hours=Q4 + stress_level=Low + study_hours=Q1,0.059885568976478065,0.23945094051855614,3.9399197639716403
gaming_hours=Q4 + stress_level=Low + study_hours=Q1,grades=Q1,0.059885568976478065,0.9853556485355648,3.9399197639716403
gaming_hours=Q4 + study_hours=Q1,grades=Q1,0.059885568976478065,0.9853556485355648,3.9399197639716403
reaction_time_ms=Q1 + stress_level=Low,gaming_hours=Q4 + grades=Q1,0.11595677050222505,0.5399644760213145,3.939536738318774
gaming_hours=Q4 + grades=Q1,reaction_time_ms=Q1 + stress_level=Low,0.11595677050222505,0.8460111317254174,3.9395367383187736
grades=Q4,gaming_hours=Q1 + reaction_time_ms=Q4 + study_hours=Q4,0.05073108709472346,0.2029501525940997,3.931534359981759
gaming_hours=Q1 + reaction_time_ms=Q4 + study_hours=Q4,grades=Q4,0.05073108709472346,0.9827586206896552,3.931534359981759
grades=Q4,gaming_hours=Q1 + study_hours=Q4,0.06052129688493325,0.24211597151576805,3.926272404064981
gaming_hours=Q1 + study_hours=Q4,grades=Q4,0.06052129688493325,0.9814432989690721,3.9262724040649806
reaction_time_ms=Q4 + stress_level=Medium,gaming_hours=Q1 + study_hours=Q2,0.052765416401780035,0.24085896691816597,3.905888195487372
gaming_hours=Q1 + study_hours=Q2,reaction_time_ms=Q4 + stress_level=Medium,0.052765416401780035,0.8556701030927835,3.9058881954873717
gaming_hours=Q4 + grades=Q1,stress_level=Low + study_hours=Q2,0.055054036872218694,0.40166975881261596,3.900163769211388
stress_level=Low + study_hours=Q2,gaming_hours=Q4 + grades=Q1,0.055054036872218694,0.5345679012345679,3.900163769211388
gaming_hours=Q4 + study_hours=Q1,reaction_time_ms=Q1 + stress_level=Low,0.0508582326764145,0.8368200836820084,3.8967376898513892
reaction_time_ms=Q1 + stress_level=Low,gaming_hours=Q4 + study_hours=Q1,0.0508582326764145,0.23682652457075196,3.8967376898513892
reaction_time_ms=Q4 + sleep_hours=Q3,gaming_hours=Q1 + stress_level=Medium,0.05225683407501589,0.8544698544698545,3.8913754518850063
gaming_hours=Q1 + stress_level=Medium,reaction_time_ms=Q4 + sleep_hours=Q3,0.05225683407501589,0.23798494499131442,3.8913754518850063
gaming_hours=Q4 + stress_level=Low,addiction_score=Q4 + grades=Q1,0.10743801652892562,0.49213744903902157,3.8862058601324345
addiction_score=Q4 + grades=Q1,gaming_hours=Q4 + stress_level=Low,0.10743801652892562,0.8483935742971889,3.8862058601324345
gaming_hours=Q4 + study_hours=Q2,reaction_time_ms=Q1 + stress_level=Low,0.05441830896376351,0.834307992202729,3.8850398808019326
reaction_time_ms=Q1 + stress_level=Low,gaming_hours=Q4 + study_hours=Q2,0.05441830896376351,0.2534043812907046,3.8850398808019326
grades=Q1,addiction_score=Q4 + stress_level=Low + study_hours=Q1,0.05632549268912905,0.2252160650737163,3.8844832276420584
addiction_score=Q4 + stress_level=Low + study_hours=Q1,grades=Q1,0.05632549268912905,0.9714912280701753,3.884483227642058
grades=Q1,reaction_time_ms=Q1 + stress_level=Low + study_hours=Q1,0.05810553083280356,0.2323335027961362,3.8796242027422747
reaction_time_ms=Q1 + stress_level=Low + study_hours=Q1,grades=Q1,0.05810553083280356,0.970276008492569,3.8796242027422747
grades=Q1,device_usage=Q4 + stress_level=Low + study_hours=Q1,0.05225683407501589,0.20894763599389932,3.866760369628278
device_usage=Q4 + stress_level=Low + study_hours=Q1,grades=Q1,0.05225683407501589,0.9670588235294117,3.866760369628278
grades=Q1,reaction_time_ms=Q1 + study_hours=Q1,0.05886840432294978,0.2353838332486019,3.8649140887270437
reaction_time_ms=Q1 + study_hours=Q1,grades=Q1,0.05886840432294978,0.9665970772442588,3.8649140887270437
addiction_score=Q4 + study_hours=Q1,grades=Q1,0.057342657342657345,0.9657387580299787,3.861482120948542
grades=Q1,addiction_score=Q4 + study_hours=Q1,0.057342657342657345,0.22928317234367054,3.8614821209485415
addiction_score=Q4 + reaction_time_ms=Q1,gaming_hours=Q4 + grades=Q1,0.09446916719643993,0.5292022792022792,3.861016628873772
gaming_hours=Q4 + grades=Q1,addiction_score=Q4 + reaction_time_ms=Q1,0.09446916719643993,0.6892393320964749,3.8610166288737715
grades=Q4,reaction_time_ms=Q4 + study_hours=Q4,0.059758423394787034,0.23906408952187183,3.8608605012105173
reaction_time_ms=Q4 + study_hours=Q4,grades=Q4,0.059758423394787034,0.9650924024640657,3.8608605012105173
gaming_hours=Q4,addiction_score=Q4 + grades=Q1 + reaction_time_ms=Q1,0.09446916719643993,0.3779247202441506,3.860231071065252
addiction_score=Q4 + grades=Q1 + reaction_time_ms=Q1,gaming_hours=Q4,0.09446916719643993,0.964935064935065,3.860231071065252
reaction_time_ms=Q4 + stress_level=Medium,gaming_hours=Q1 + sleep_hours=Q4,0.05060394151303242,0.2309924550203134,3.8572306979506688
gaming_hours=Q1 + sleep_hours=Q4,reaction_time_ms=Q4 + stress_level=Medium,0.05060394151303242,0.8450106157112527,3.8572306979506688
gaming_genre=Casual + gaming_hours=Q4,addiction_score=Q4 + reaction_time_ms=Q1,0.052638270820089005,0.6877076411960134,3.8524363233665566
addiction_score=Q4 + reaction_time_ms=Q1,gaming_genre=Casual + gaming_hours=Q4,0.052638270820089005,0.2948717948717949,3.852436323366556
reaction_time_ms=Q4 + study_hours=Q1,gaming_hours=Q1 + stress_level=Medium,0.05073108709472346,0.8453389830508475,3.8497921839576814
gaming_hours=Q1 + stress_level=Medium,reaction_time_ms=Q4 + study_hours=Q1,0.05073108709472346,0.23103647944412276,3.849792183957681
reaction_time_ms=Q1 + study_hours=Q2,gaming_hours=Q4 + stress_level=Low,0.05441830896376351,0.8375733855185911,3.836642211475666
gaming_hours=Q4 + stress_level=Low,reaction_time_ms=Q1 + study_hours=Q2,0.05441830896376351,0.24927198602213163,3.8366422114756658
addiction_score=Q1 + study_hours=Q4,grades=Q4,0.06077558804831532,0.9579158316633267,3.8321505676663605
grades=Q4,addiction_score=Q1 + study_hours=Q4,0.06077558804831532,0.24313326551373346,3.83215056766636
reaction_time_ms=Q1 + study_hours=Q1,gaming_hours=Q4 + stress_level=Low,0.0508582326764145,0.8350730688935282,3.8251891012507855
gaming_hours=Q4 + stress_level=Low,reaction_time_ms=Q1 + study_hours=Q1,0.0508582326764145,0.23296447291788003,3.8251891012507855
gaming_hours=Q4,addiction_score=Q4 + device_usage=Q4 + reaction_time_ms=Q1,0.12625556261919899,0.5050864699898271,3.823392768498547
addiction_score=Q4 + device_usage=Q4 + reaction_time_ms=Q1,gaming_hours=Q4,0.12625556261919899,0.9557266602502407,3.8233927684985467
addiction_score=Q1 + reaction_time_ms=Q4,age=Q1 + gaming_hours=Q1,0.06102987921169739,0.32989690721649484,3.8212653538405474
age=Q1 + gaming_hours=Q1,addiction_score=Q1 + reaction_time_ms=Q4,0.06102987921169739,0.706921944035346,3.8212653538405474
grades=Q1 + reaction_time_ms=Q1,stress_level=Low + study_hours=Q2,0.05136681500317864,0.3933787731256086,3.8196593217690262
stress_level=Low + study_hours=Q2,grades=Q1 + reaction_time_ms=Q1,0.05136681500317864,0.4987654320987654,3.8196593217690262
addiction_score=Q4 + reaction_time_ms=Q1,age=Q1 + gaming_hours=Q4,0.056579783852511126,0.31695156695156695,3.817494753559072
age=Q1 + gaming_hours=Q4,addiction_score=Q4 + reaction_time_ms=Q1,0.056579783852511126,0.6814701378254211,3.817494753559072
gaming_genre=RPG + gaming_hours=Q4,addiction_score=Q4 + reaction_time_ms=Q1,0.05162110616656071,0.6812080536912751,3.8160265970668656
addiction_score=Q4 + reaction_time_ms=Q1,gaming_genre=RPG + gaming_hours=Q4,0.05162110616656071,0.28917378917378916,3.816026597066865
gaming_hours=Q1 + stress_level=Medium,reaction_time_ms=Q4 + sleep_hours=Q4,0.05060394151303242,0.23045744064852347,3.8158900435802887
reaction_time_ms=Q4 + sleep_hours=Q4,gaming_hours=Q1 + stress_level=Medium,0.05060394151303242,0.8378947368421052,3.8158900435802883
gaming_hours=Q1,addiction_score=Q1 + device_usage=Q1 + reaction_time_ms=Q4,0.1350286077558805,0.5374493927125507,3.8115775236106497
addiction_score=Q1 + device_usage=Q1 + reaction_time_ms=Q4,gaming_hours=Q1,0.1350286077558805,0.957619477006312,3.8115775236106493
gaming_hours=Q1 + stress_level=Medium,reaction_time_ms=Q4 + study_hours=Q2,0.052765416401780035,0.24030110017371165,3.8027528226684955
reaction_time_ms=Q4 + study_hours=Q2,gaming_hours=Q1 + stress_level=Medium,0.052765416401780035,0.8350100603621731,3.8027528226684955
reaction_time_ms=Q1 + sleep_hours=Q4,gaming_hours=Q4 + stress_level=Low,0.05467260012714558,0.8285163776493256,3.7951551020453964
gaming_hours=Q4 + stress_level=Low,reaction_time_ms=Q1 + sleep_hours=Q4,0.05467260012714558,0.250436808386721,3.7951551020453964
addiction_score=Q4 + grades=Q1,device_usage=Q4 + gaming_hours=Q4,0.08251748251748252,0.6516064257028112,3.7849959661392987
device_usage=Q4 + gaming_hours=Q4,addiction_score=Q4 + grades=Q1,0.08251748251748252,0.4793205317577548,3.7849959661392987
stress_level=Low + study_hours=Q1,grades=Q1,0.09345200254291164,0.945945945945946,3.7823410599211313
grades=Q1,stress_level=Low + study_hours=Q1,0.09345200254291164,0.3736654804270463,3.7823410599211313
addiction_score=Q4 + gaming_genre=FPS + reaction_time_ms=Q1,gaming_hours=Q4,0.06331849968213604,0.9449715370018975,3.78036680494401
gaming_hours=Q4,addiction_score=Q4 + gaming_genre=FPS + reaction_time_ms=Q1,0.06331849968213604,0.25330620549338756,3.78036680494401
addiction_score=Q4 + age=Q1 + reaction_time_ms=Q1,gaming_hours=Q4,0.056579783852511126,0.9447983014861996,3.7796737747654934
gaming_hours=Q4,addiction_score=Q4 + age=Q1 + reaction_time_ms=Q1,0.056579783852511126,0.22634791454730416,3.779673774765493
addiction_score=Q4 + reaction_time_ms=Q1,gaming_hours=Q4 + gender=Male,0.0831532104259377,0.4658119658119658,3.7769186712485685
gaming_hours=Q4 + gender=Male,addiction_score=Q4 + reaction_time_ms=Q1,0.0831532104259377,0.6742268041237113,3.776918671248568
gaming_hours=Q1,addiction_score=Q1 + grades=Q4 + reaction_time_ms=Q4,0.08467895740623013,0.33704453441295545,3.7761470985155197
addiction_score=Q1 + grades=Q4 + reaction_time_ms=Q4,gaming_hours=Q1,0.08467895740623013,0.9487179487179488,3.7761470985155197
addiction_score=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + grades=Q4,0.08467895740623013,0.4577319587628866,3.773649743888997
gaming_hours=Q1 + grades=Q4,addiction_score=Q1 + reaction_time_ms=Q4,0.08467895740623013,0.6981132075471698,3.773649743888997
addiction_score=Q4 + gaming_genre=Casual + reaction_time_ms=Q1,gaming_hours=Q4,0.052638270820089005,0.9430523917995445,3.77268924796715
gaming_hours=Q4,addiction_score=Q4 + gaming_genre=Casual + reaction_time_ms=Q1,0.052638270820089005,0.2105798575788403,3.77268924796715
gaming_hours=Q4,addiction_score=Q4 + gender=Male + reaction_time_ms=Q1,0.0831532104259377,0.3326551373346897,3.7699317797367935
addiction_score=Q4 + gender=Male + reaction_time_ms=Q1,gaming_hours=Q4,0.0831532104259377,0.9423631123919308,3.7699317797367935
gaming_hours=Q1 + grades=Q3,addiction_score=Q1 + reaction_time_ms=Q4,0.05301970756516211,0.6973244147157192,3.7693859255939044
addiction_score=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + grades=Q3,0.05301970756516211,0.2865979381443299,3.769385925593904
addiction_score=Q4 + stress_level=Low,gaming_hours=Q4 + grades=Q1,0.10743801652892562,0.516188149053146,3.7660665976836674
gaming_hours=Q4 + grades=Q1,addiction_score=Q4 + stress_level=Low,0.10743801652892562,0.7838589981447124,3.766066597683667
device_usage=Q1 + gaming_hours=Q1,addiction_score=Q1 + grades=Q4,0.07590591226954864,0.4307359307359308,3.7641534391534397
addiction_score=Q1 + grades=Q4,device_usage=Q1 + gaming_hours=Q1,0.07590591226954864,0.6633333333333333,3.7641534391534393
addiction_score=Q4 + reaction_time_ms=Q1,gaming_hours=Q4,0.16757787666878576,0.9387464387464388,3.7554632455446293
gaming_hours=Q4,addiction_score=Q4 + reaction_time_ms=Q1,0.16757787666878576,0.6703967446592065,3.7554632455446293
gaming_hours=Q1,addiction_score=Q1 + gaming_genre=RPG + reaction_time_ms=Q4,0.052638270820089005,0.20951417004048584,3.7535966910442395
addiction_score=Q1 + gaming_genre=RPG + reaction_time_ms=Q4,gaming_hours=Q1,0.052638270820089005,0.9430523917995445,3.753596691044239
addiction_score=Q4 + reaction_time_ms=Q1 + stress_level=Low,gaming_hours=Q4,0.1449459631277813,0.9382716049382716,3.7535636687891687
gaming_hours=Q4,addiction_score=Q4 + reaction_time_ms=Q1 + stress_level=Low,0.1449459631277813,0.5798575788402848,3.7535636687891683
gaming_hours=Q4 + grades=Q1,device_usage=Q4 + reaction_time_ms=Q1,0.0817546090273363,0.5964749536178108,3.7500203918497856
device_usage=Q4 + reaction_time_ms=Q1,gaming_hours=Q4 + grades=Q1,0.0817546090273363,0.5139888089528377,3.750020391849785
gaming_hours=Q1 + gender=Male,addiction_score=Q1 + reaction_time_ms=Q4,0.08518753973299428,0.6928645294725957,3.7452780235752337
addiction_score=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + gender=Male,0.08518753973299428,0.4604810996563574,3.7452780235752337
gaming_hours=Q4,addiction_score=Q4 + gender=Female + reaction_time_ms=Q1,0.07832167832167833,0.3133265513733469,3.7451570312330906
addiction_score=Q4 + gender=Female + reaction_time_ms=Q1,gaming_hours=Q4,0.07832167832167833,0.9361702127659576,3.7451570312330906
device_usage=Q1 + reaction_time_ms=Q4,gaming_genre=FPS + gaming_hours=Q1,0.06331849968213604,0.38425925925925924,3.740345388705537
gaming_genre=FPS + gaming_hours=Q1,device_usage=Q1 + reaction_time_ms=Q4,0.06331849968213604,0.6163366336633663,3.740345388705537
gaming_hours=Q4,device_usage=Q4 + grades=Q1 + reaction_time_ms=Q1,0.0817546090273363,0.32706002034588,3.738847470959805
device_usage=Q4 + grades=Q1 + reaction_time_ms=Q1,gaming_hours=Q4,0.0817546090273363,0.934593023255814,3.738847470959805
gaming_hours=Q1 + stress_level=Medium,addiction_score=Q1 + sleep_hours=Q3,0.051875397329942785,0.2362478286045165,3.7386100039728825
addiction_score=Q1 + sleep_hours=Q3,gaming_hours=Q1 + stress_level=Medium,0.051875397329942785,0.8209255533199196,3.738610003972882
gaming_genre=RPG + gaming_hours=Q1,addiction_score=Q1 + reaction_time_ms=Q4,0.052638270820089005,0.6911519198664442,3.73602051529181
addiction_score=Q1 + reaction_time_ms=Q4,gaming_genre=RPG + gaming_hours=Q1,0.052638270820089005,0.2845360824742268,3.7360205152918096
age=Q1 + gaming_hours=Q1,device_usage=Q1 + reaction_time_ms=Q4,0.05314685314685315,0.6156111929307806,3.7359429262350226
device_usage=Q1 + reaction_time_ms=Q4,age=Q1 + gaming_hours=Q1,0.05314685314685315,0.32253086419753085,3.735942926235022
grades=Q4,device_usage=Q1 + study_hours=Q4,0.05886840432294978,0.23550356052899288,3.7343457733075187
device_usage=Q1 + study_hours=Q4,grades=Q4,0.05886840432294978,0.933467741935484,3.7343457733075187
gaming_genre=FPS + gaming_hours=Q1,addiction_score=Q1 + reaction_time_ms=Q4,0.07094723458359822,0.6905940594059407,3.7330050015310814
addiction_score=Q1 + reaction_time_ms=Q4,gaming_genre=FPS + gaming_hours=Q1,0.07094723458359822,0.3835051546391753,3.733005001531081
gaming_hours=Q1,addiction_score=Q1 + gaming_genre=FPS + reaction_time_ms=Q4,0.07094723458359822,0.2823886639676113,3.7327509951348956
addiction_score=Q1 + gaming_genre=FPS + reaction_time_ms=Q4,gaming_hours=Q1,0.07094723458359822,0.9378151260504202,3.7327509951348956
gaming_hours=Q1,device_usage=Q1 + grades=Q4 + reaction_time_ms=Q4,0.07425301970756516,0.2955465587044534,3.731097406437441
device_usage=Q1 + grades=Q4 + reaction_time_ms=Q4,gaming_hours=Q1,0.07425301970756516,0.9373996789727126,3.731097406437441
gaming_hours=Q1,device_usage=Q1 + gaming_genre=FPS + reaction_time_ms=Q4,0.06331849968213604,0.25202429149797567,3.725885437277403
device_usage=Q1 + gaming_genre=FPS + reaction_time_ms=Q4,gaming_hours=Q1,0.06331849968213604,0.9360902255639096,3.725885437277403
gaming_hours=Q1,addiction_score=Q1 + age=Q1 + reaction_time_ms=Q4,0.06102987921169739,0.24291497975708498,3.724222837796244
addiction_score=Q1 + age=Q1 + reaction_time_ms=Q4,gaming_hours=Q1,0.06102987921169739,0.9356725146198829,3.724222837796244
device_usage=Q4 + study_hours=Q1,grades=Q1,0.05632549268912905,0.930672268907563,3.721269646648695
grades=Q1,device_usage=Q4 + study_hours=Q1,0.05632549268912905,0.2252160650737163,3.721269646648695
gaming_hours=Q1,addiction_score=Q1 + gender=Male + reaction_time_ms=Q4,0.08518753973299428,0.3390688259109312,3.719353299566909
addiction_score=Q1 + gender=Male + reaction_time_ms=Q4,gaming_hours=Q1,0.08518753973299428,0.9344490934449093,3.7193532995669085
addiction_score=Q4 + reaction_time_ms=Q1,gaming_hours=Q4 + stress_level=Low,0.1449459631277813,0.811965811965812,3.7193425224875427
gaming_hours=Q4 + stress_level=Low,addiction_score=Q4 + reaction_time_ms=Q1,0.1449459631277813,0.663948747815958,3.7193425224875427
gaming_hours=Q1 + grades=Q4,device_usage=Q1 + reaction_time_ms=Q4,0.07425301970756516,0.6121593291404612,3.714994694205037
device_usage=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + grades=Q4,0.07425301970756516,0.4506172839506173,3.7149946942050365
gaming_hours=Q1,addiction_score=Q1 + reaction_time_ms=Q4,0.17240940877304514,0.6862348178137652,3.7094411285946824
addiction_score=Q1 + reaction_time_ms=Q4,gaming_hours=Q1,0.17240940877304514,0.931958762886598,3.7094411285946824
addiction_score=Q1 + reaction_time_ms=Q4 + stress_level=Medium,gaming_hours=Q1,0.14952320406865863,0.9318541996830428,3.7090249395279007
gaming_hours=Q1,addiction_score=Q1 + reaction_time_ms=Q4 + stress_level=Medium,0.14952320406865863,0.5951417004048583,3.7090249395279002
addiction_score=Q4 + gaming_genre=RPG + reaction_time_ms=Q1,gaming_hours=Q4,0.05162110616656071,0.9269406392694064,3.708234042652025
gaming_hours=Q4,addiction_score=Q4 + gaming_genre=RPG + reaction_time_ms=Q1,0.05162110616656071,0.20651068158697863,3.708234042652025
gaming_hours=Q1,addiction_score=Q1 + gender=Female + reaction_time_ms=Q4,0.08150031786395423,0.32439271255060725,3.7029734168512713
addiction_score=Q1 + gender=Female + reaction_time_ms=Q4,gaming_hours=Q1,0.08150031786395423,0.93033381712627,3.7029734168512713
addiction_score=Q4 + reaction_time_ms=Q1,gaming_hours=Q4 + gender=Female,0.07832167832167833,0.4387464387464388,3.702511524399937
gaming_hours=Q4 + gender=Female,addiction_score=Q4 + reaction_time_ms=Q1,0.07832167832167833,0.6609442060085838,3.702511524399937
gaming_hours=Q1 + sleep_hours=Q3,addiction_score=Q1 + stress_level=Medium,0.051875397329942785,0.8015717092337917,3.695405330084274
addiction_score=Q1 + stress_level=Medium,gaming_hours=Q1 + sleep_hours=Q3,0.051875397329942785,0.2391559202813599,3.695405330084274
addiction_score=Q4 + gaming_hours=Q4,grades=Q1 + reaction_time_ms=Q1,0.09446916719643993,0.4824675324675325,3.694846292947559
grades=Q1 + reaction_time_ms=Q1,addiction_score=Q4 + gaming_hours=Q4,0.09446916719643993,0.7234664070107109,3.6948462929475587
reaction_time_ms=Q4 + stress_level=Medium,gaming_hours=Q1 + grades=Q3,0.06153846153846154,0.2809053975623912,3.694516641853189
gaming_hours=Q1 + grades=Q3,reaction_time_ms=Q4 + stress_level=Medium,0.06153846153846154,0.8093645484949834,3.6945166418531885
addiction_score=Q1 + gaming_hours=Q1,grades=Q4 + reaction_time_ms=Q4,0.08467895740623013,0.4239338001273074,3.6883178517713198
grades=Q4 + reaction_time_ms=Q4,addiction_score=Q1 + gaming_hours=Q1,0.08467895740623013,0.7367256637168141,3.6883178517713193
gaming_hours=Q1 + study_hours=Q1,reaction_time_ms=Q4 + stress_level=Medium,0.05073108709472346,0.8076923076923076,3.6868833430063837
reaction_time_ms=Q4 + stress_level=Medium,gaming_hours=Q1 + study_hours=Q1,0.05073108709472346,0.23157283807312826,3.6868833430063837
addiction_score=Q4 + grades=Q1,device_usage=Q4 + reaction_time_ms=Q1,0.07425301970756516,0.5863453815261045,3.6863360717048854
device_usage=Q4 + reaction_time_ms=Q1,addiction_score=Q4 + grades=Q1,0.07425301970756516,0.46682653876898483,3.6863360717048854
gaming_hours=Q1 + sleep_hours=Q3,reaction_time_ms=Q4 + stress_level=Medium,0.05225683407501589,0.8074656188605108,3.6858485736145776
reaction_time_ms=Q4 + stress_level=Medium,gaming_hours=Q1 + sleep_hours=Q3,0.05225683407501589,0.23853743470690653,3.685848573614577
gaming_hours=Q1 + gender=Female,device_usage=Q1 + reaction_time_ms=Q4,0.07272727272727272,0.6065747613997879,3.6811037796368304
device_usage=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + gender=Female,0.07272727272727272,0.441358024691358,3.68110377963683
addiction_score=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + stress_level=Medium,0.14952320406865863,0.8082474226804124,3.6808720204872287
gaming_hours=Q1 + stress_level=Medium,addiction_score=Q1 + reaction_time_ms=Q4,0.14952320406865863,0.680949623624783,3.6808720204872287
addiction_score=Q1 + reaction_time_ms=Q4,gaming_hours=Q1 + gender=Female,0.08150031786395423,0.44054982817869415,3.674363095042873
gaming_hours=Q1 + gender=Female,addiction_score=Q1 + reaction_time_ms=Q4,0.08150031786395423,0.679745493107105,3.674363095042873
